song_name,song_id,popularity,release_date,release_date_precision,external_ids,spotify_url,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Justify My Love,6BWRvw630R8z2vNMok6quI,45,2009-09-18,day,{'isrc': 'USWB10903614'},https://open.spotify.com/track/6BWRvw630R8z2vNMok6quI,"[{'artist_name': 'Madonna', 'artist_id': '6tbjWDEIzxoDsBA1FuhfPW'}]",0.705,0.821,1.0,-7.085,1.0,0.128,0.00244,0.684,0.0572,0.456,99.642,294267.0
I'm Your Baby Tonight,3SmPl0CGxvvkQCrTv7edEE,58,1990-11-04,day,{'isrc': 'USAR19000129'},https://open.spotify.com/track/3SmPl0CGxvvkQCrTv7edEE,"[{'artist_name': 'Whitney Houston', 'artist_id': '6XpaIBNiVzIetEPCWDvAFP'}]",0.665,0.899,6.0,-7.75,1.0,0.0877,0.303,2.21e-06,0.445,0.873,165.16,299427.0
"Blaze Of Glory - From ""Young Guns II"" Soundtrack",1sUTfgduT0WIQO8kXKXxLC,63,1990-01-01,day,{'isrc': 'USPG19090003'},https://open.spotify.com/track/1sUTfgduT0WIQO8kXKXxLC,"[{'artist_name': 'Jon Bon Jovi', 'artist_id': '6h2bWHWTJL38N8dqocVaif'}]",0.547,0.62,7.0,-9.823,1.0,0.0309,0.0564,2.49e-05,0.0937,0.426,78.598,335240.0
All The Man That I Need,07M76e7IXxYdnC1BBiJxEX,55,1990-11-04,day,{'isrc': 'USAR19000121'},https://open.spotify.com/track/07M76e7IXxYdnC1BBiJxEX,"[{'artist_name': 'Whitney Houston', 'artist_id': '6XpaIBNiVzIetEPCWDvAFP'}]",0.496,0.571,5.0,-9.958,0.0,0.0335,0.43,0.0,0.0332,0.25,150.944,251427.0
Enjoy the Silence,0yp3TvJNlG50Q4tAHWNCRm,74,2022-04-01,day,{'isrc': 'GBAJH0400045'},https://open.spotify.com/track/0yp3TvJNlG50Q4tAHWNCRm,"[{'artist_name': 'Depeche Mode', 'artist_id': '762310PdDnwsDxAQxzQkfX'}]",,,,,,,,,,,,
Vogue,27QvYgBk0CHOVHthWnkuWt,68,2009-09-18,day,{'isrc': 'USWB10903600'},https://open.spotify.com/track/27QvYgBk0CHOVHthWnkuWt,"[{'artist_name': 'Madonna', 'artist_id': '6tbjWDEIzxoDsBA1FuhfPW'}]",0.737,0.88,6.0,-6.449,1.0,0.0433,0.00379,0.00351,0.417,0.329,115.998,316813.0
Freedom! '90 - Remastered,1wZ7o1mZysv1l26ZWawVfW,68,1990-09-01,day,{'isrc': 'GBARL1501373'},https://open.spotify.com/track/1wZ7o1mZysv1l26ZWawVfW,"[{'artist_name': 'George Michael', 'artist_id': '19ra5tSw0tWufvUp8GotLo'}]",,,,,,,,,,,,
Vision of Love,0gLQ6jhJsyYfl7PrD1RZ7X,57,1990-06-12,day,{'isrc': 'USSM19000412'},https://open.spotify.com/track/0gLQ6jhJsyYfl7PrD1RZ7X,"[{'artist_name': 'Mariah Carey', 'artist_id': '4iHNK0tOyZPYnBU7nGAgpQ'}]",0.256,0.463,5.0,-10.959,1.0,0.0382,0.442,0.0,0.121,0.354,205.362,209293.0
Praying for Time - Remastered,72LKSYwvDYp9acfM5TEgBK,56,1990-09-01,day,{'isrc': 'GBARL1501372'},https://open.spotify.com/track/72LKSYwvDYp9acfM5TEgBK,"[{'artist_name': 'George Michael', 'artist_id': '19ra5tSw0tWufvUp8GotLo'}]",,,,,,,,,,,,
Heal the World,7woW97CfcWaKtuC6W5BP2K,69,1991-11-13,day,{'isrc': 'USSM10024731'},https://open.spotify.com/track/7woW97CfcWaKtuC6W5BP2K,"[{'artist_name': 'Michael Jackson', 'artist_id': '3fMbdgg4jU18AjLCKBhRSm'}]",0.534,0.485,9.0,-8.045,1.0,0.0467,0.537,1.79e-06,0.104,0.102,80.923,384307.0
