song_name,song_id,popularity,release_date,release_date_precision,external_ids,spotify_url,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Billie Jean,7J1uxwnxfQLu4APicE5Rnj,82,1982-11-30,day,{'isrc': 'USSM19902991'},https://open.spotify.com/track/7J1uxwnxfQLu4APicE5Rnj,"[{'artist_name': 'Michael Jackson', 'artist_id': '3fMbdgg4jU18AjLCKBhRSm'}]",,,,,,,,,,,,
Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1,89,1983-06-17,day,{'isrc': 'GBAAM0201110'},https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1,"[{'artist_name': 'The Police', 'artist_id': '5NGO30tJxFlKixkPSgXcFE'}]",0.82,0.452,1.0,-9.796,1.0,0.0348,0.543,0.00294,0.0714,0.74,117.401,253920.0
Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW,86,1987-07-21,day,{'isrc': 'USGF18714809'},https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW,"[{'artist_name': ""Guns N' Roses"", 'artist_id': '3qm84nBOXUEQ2vnTfUTTFC'}]",0.446,0.952,6.0,-5.321,1.0,0.0523,0.0901,0.0857,0.112,0.624,125.303,356067.0
When Doves Cry,6sby78fghipoXHQLeeZFFH,71,1984-06-25,day,{'isrc': 'USWB10001877'},https://open.spotify.com/track/6sby78fghipoXHQLeeZFFH,"[{'artist_name': 'Prince', 'artist_id': '5a2EaR3hamoenG9rDuVn8j'}]",,,,,,,,,,,,
With Or Without You,6ADSaE87h8Y3lccZlBJdXH,80,1987-03-03,day,{'isrc': 'GBUM70709792'},https://open.spotify.com/track/6ADSaE87h8Y3lccZlBJdXH,"[{'artist_name': 'U2', 'artist_id': '51Blml2LZPmy7TTiAg47vQ'}]",0.54,0.429,2.0,-11.822,1.0,0.0285,0.000202,0.355,0.141,0.113,110.171,295516.0
Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF,83,1986-08-16,day,{'isrc': 'USPR38619998'},https://open.spotify.com/track/37ZJ0p5Jm13JPevGcx4SkF,"[{'artist_name': 'Bon Jovi', 'artist_id': '58lV9VcRSjABbAbfWS6skp'}]",0.532,0.887,0.0,-3.757,1.0,0.0335,0.0778,0.000214,0.294,0.795,122.511,249293.0
"Endless Love - From ""The Endless Love"" Soundtrack",0rt0dZ11FVsvprbarag5tk,57,1992-01-01,day,{'isrc': 'USMO18190008'},https://open.spotify.com/track/0rt0dZ11FVsvprbarag5tk,"[{'artist_name': 'Lionel Richie', 'artist_id': '3gMaNLQm7D9MornNILzdSl'}, {'artist_name': 'Diana Ross', 'artist_id': '3MdG05syQeRYPPcClLaUGl'}]",,,,,,,,,,,,
Jump - 2015 Remaster,7N3PAbqfTjSEU1edb2tY8j,78,1984-01-04,day,{'isrc': 'USWB11403680'},https://open.spotify.com/track/7N3PAbqfTjSEU1edb2tY8j,"[{'artist_name': 'Van Halen', 'artist_id': '2cnMpRsOVqtPMfq7YiFE6K'}]",0.572,0.835,0.0,-6.219,1.0,0.0317,0.171,0.000376,0.0702,0.796,129.994,241600.0
Beat It,3BovdzfaX4jb5KFQwoPfAw,79,1982-11-30,day,{'isrc': 'USSM19902990'},https://open.spotify.com/track/3BovdzfaX4jb5KFQwoPfAw,"[{'artist_name': 'Michael Jackson', 'artist_id': '3fMbdgg4jU18AjLCKBhRSm'}]",,,,,,,,,,,,
You Shook Me All Night Long,2SiXAy7TuUkycRVbbWDEpo,81,1980-07-25,day,{'isrc': 'AUAP08000047'},https://open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo,"[{'artist_name': 'AC/DC', 'artist_id': '711MCceyCBcFnzjGY4Q7Un'}]",0.532,0.767,7.0,-5.509,1.0,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173.0
